company_name,_id
''a and i's'' kanadai kft.,1
millennium ovi kft.,1
mille-case kft.,1
milano nyílászáró kft.,1
miksa és társa kft.,1
mikrosport kft.,1
mikropakk kft,1
migép kft.,1
michelin hungária abroncsgyártó kft.,1
mfb magyar fejlesztési bank zrt.,1
mey industry hungary kft.,1
metyx hungary kft.,1
mettler-toledo kft.,1
metróvas kft.,1
metripond-m 93 kft.,1
metlife inc.,1
meteor cee kft.,1
metalelektro méréstechnika kft.,1
metalcom távközlési és rendszerintegrációs zrt.,1
metal-union kft.,1
messer hungarogáz kft.,1
merkantil bank zrt.,1
millerius kft.,1
mineradoro kft.,1
mini mobili kft.,1
minicopy.hu bt.,1
momál kft.,1
molnár agency kft.,1
molekuláris- ujjlenyomat kutató központ nonprofit kft.,1
mol-pe circular economy science park nonprofit zrt.,1
mol petrolkémia zrt.,1
mogyoróssy autókereskedelmi kft.,1
mod zrt.,1
mobilan bútor,1
mobil petrol - mph power zrt.,1
mobil palota kft.,1
mercure hotel wien westbahnhof,1
mns védelem kft.,1
mm szolnok,1
mm békéscsaba,1
mlsz edzőcentrum kft.,1
mizutori kft.,1
mizsetáp kft.,1
mixpakk kft.,1
mirehu nonprofit kft.,1
mirage immobile kft.,1
mipa coatings kft.,1
minimal ceramic kft.,1
mmg hotels kft.,1
mondelez,1
mercedes-benz manufact. hungary kft,1
mellow mood hungary kft.,1
magyar posta biztosító zrt.,1
magyar nemzeti vagyonkezelő zrt.,1
magyar nemzeti bank,1
magyar közúti fuvarozók egyesülete,1
magyar kéménygyártó kft.,1
magyar faktorház zrt.,1
madách színház nonprofit kft.,1
mada - hús kft.,1
mad-hotel és iroda kft.,1
m15 restaurant kft,1
m-rtl zrt.,1
löwen hotel montafon,1
láng kft.,1
"lvd s3, a.s.",1
luzso car kft.,1
lupart kft.,1
lucy wang ischgl,1
lotte global logistics (germany) gmbh magyarországi fióktelepe,1
lorinvest zrt.,1
lora beauty kft.,1
loisium hotel & weinwelt langenlois,1
magyar pénzverő zrt.,1
magyar ökumenikus segélyszervezet,1
magyarmet kft.,1
magyarországi református egyház bethesda gyermekkórháza,1
mektec manufacturing corporation europe hu kft.,1
medoc üzleti szolgáltató kft.,1
medialog-dmhm logisztikai zrt.,1
media markt saturn holding mo. kft.,1
mc-bauchemie kft.,1
mbm gumi hungary kft.,1
mbit consulting kft.,1
mavir zrt.,1
matusz-vad zrt.,1
matrac profi kft.,1
meló-depó 2000. szövetkezet,1
maternity magánklinika kft.,1
margoptik kft,1
marek humánerőforrás kft.,1
marche kft.,1
manual hungary kft,1
mann+hummel jack filter kft.,1
mangia e bevi kft.,1
makronóm közhasznú nonprofit kft.,1
makit kft,1
major kft.,1
maierl alm & chalets,1
marischka kft.,1
logmein kft.,1
mondi resort am grundlsee,1
moonrise kft.,1
omega pharma hungary kft.,1
omco hungary kft.,1
oktotrade kft,1
oh my green,1
ogyéi,1
oberbank ag magyarországi fióktelep,1
német-magyar kamara,1
nádor rendszerház kft.,1
nzrt-trade kft.,1
nutriversum kft.,1
nt kft.,1
novotel budapest city,1
novochem kft.,1
nordtek imexco kft.,1
noptiker kft.,1
no limit logistics kft.,1
no fluff jobs sp. z.o.o.,1
nmhh nemzeti média- és hírközlés hatóság,1
ni hungary kft.,1
next auto kft.,1
new wave service kft.,1
omixon biocomputing kft.,1
omnit solutions kft.,1
onduline kft.,1
oney magyarország zrt.,1
pallas athéné könyvkiadó kft.,1
palais coburg residenz 5*s,1
pack-technik zrt.,1
p.m.r. kft.,1
p&p pékáru kft.,1
ozirisz kft.,1
otto fuchs hungary kft.,1
otthon 13 kft. - otthon centrum,1
otp jelzálogbank zrt,1
otp immobilienverwertung gmbh,1
netrisk magyarország első online biztosítási alkusz kft.,1
orthosera medical zrt.,1
orion elektronikai kft.,1
orink hungary kft.,1
ordensklinikum linz gmbh,1
orbico hungary kft.,1
optimum facility services kft.,1
optibalance hungary kft,1
open doors kft,1
onlinemárkabolt magyarország kft.,1
online pszichológia kft.,1
ongropack kft. (miskolc),1
országos vízügyi főigazgatóság,1
monett 2008 kft.,1
nesler kft.,1
nemzetközi gyermekmentő szolg.m.e.,1
myad marketing kft,1
mvm ügyfélkapcsolati kft.,1
mvm zrt.,1
mvm nukleáris karbantartó zrt.,1
mvm főgáz földgázhálózati kft.,1
music merchant kft,1
musashi hungary ipari kft.,1
murexin kft.,1
multicom contact kft.,1
multi evox bt.,1
mtva,1
msci kft.,1
mrp consult gmbh,1
mrg kft.,1
mpt security zrt.,1
mozaik kft.,1
motor-classic zrt.,1
motel one wien-westbahnhof,1
motel one wien-hauptbahnhof,1
most mint kft.,1
morgan hungary kft.,1
mylan hungary kft,1
mylan hungary kft.,1
myplace premium apartments,1
mystery hotel budapest,1
nemzeti útdíjfizetési szolgáltató zrt.,1
nemzeti védelmi szolgálat,1
nemzeti földügyi központ,1
nemzeti filmintézet közhasznú nonprofit zrt.,1
nemzeti emlékezet bizottságának hivatala,1
nemo pack kft.,1
nemara gold kft,1
nch hungary kft.,1
navidad kft.,1
naturweb kft.,1
neroli beauty kft,1
naturhotel forsthofgut,1
nap mint nap-go kft.,1
nagyhegyesi takarmány kft.,1
nagyfény bt.,1
nagyerdei kultúrpark nonprofit kft.,1
nagisz zrt.,1
müller - transporte s.r.o.,1
mü-gu-kft.,1
mömax,1
máv szolgáltató központ zrt.,1
máv fkg kft.,1
natureland zrt.,1
pallet solution kft.,1
lizi london kft.,1
linser industrie service hungary kft.,1
implant és esztétikai center kft,1
impextel 2005 kft.,1
immo-land kft.,1
ifa alpenhof wildental hotel,1
idrinks.hu italkereskedés,1
idealbody kft.,1
ict európa finance zrt.,1
icon real estate management kft.,1
ibis styles wien messe prater,1
ibis styles klagenfurt,1
ibd magyarország kft.,1
i.t. magyar cinema kft.,1
i-real kft.,1
húsház hungary kft.,1
höflehner****superior natur- und wellnesshotel,1
hódtrans kft,1
hírös gasztro kereskedelmi és szolgáltató kft.,1
hymato products kft.,1
hydro extrusion hungary kft.,1
hunicorn zrt,1
hungast vital kft.,1
indigó trafik bt,1
inductor kft.,1
industrial technologies kft.,1
infomix kft.,1
itsecure kft.,1
iteam holding zrt.,1
ital magyarország kft.,1
itag-ökolex zrt.,1
istenhegyi géndiagnosztika,1
isi automotive hungary kft.,1
isg international executive consulting kft.,1
iqvia solutions services kft.,1
ipr-insights hungary kft.,1
ipoly-rákóczi kft.,1
hungary musashi kft.,1
iplus magyarország kft.,1
inzi controls hungary kft.,1
invitech ict services kft.,1
intrum zrt.,1
intren kft.,1
interfood-europa kft,1
interfood & pharma kft.,1
interalpen-hotel tyrol,1
inter-mix kft.,1
innio,1
ingatlan.com zrt.,1
ionto-comed hungária kft.,1
ivalis austria gmbh,1
hungarocontrol zrt.,1
humán centrum kft.,1
hotel nidum,1
hotel neuhaus,1
hotel josefshof am rathaus,1
hotel gut brandlhof,1
hotel gösserbräu wels,1
hotel gletscherblick,1
hotel erzberg,1
hotel der bär,1
hotel auenhof,1
hotel alte post,1
horváth cukrászda kft.,1
hopi hungária logisztikai kft.,1
holiday inn vienna south,1
hofstädter floor interior kft.,1
hobbigyár kft.,1
"ho-máhr trans fuvarozási, szállítmányozási és kereskedelmi kft.",1
hmei zrt.,1
hill international kft.,1
highcosm bt.,1
hermész-soft kft.,1
herceghalmi kereskedőház kft.,1
hotel panorama alpin****,1
hotel pauls,1
hotel pirchnerhof,1
"hotel rathauspark wien, a member of radisson individuals",1
human priority kft.,1
human & medicwork consulting kft.,1
huber's boutiquehotel,1
htns hungary kft.,1
htm pékség kft.,1
hssc szolgáltató központ kft.,1
hsmk kft,1
hsg consulting kft.,1
hsa recruitment kft.,1
hrt spedition kft.,1
humán telex advertising kft.,1
hr-rent kft,1
hotel tannenhof,1
hotel singer **** superior relais & châteaux,1
hotel silbertal,1
hotel seven,1
hotel seespitz,1
hotel schütterhof,1
hotel rum kft.,1
hotel royal,1
hotel riedl,1
hotel residenz hochland,1
house36 ingatlanbázis kft.,1
lisi family hotel,1
j.s. logistics kft.,1
jo&joe vienna,1
kísérleti orvostudományi kutatóintézet,1
kész ipari gyártó kft.,1
képdoktor kft.,1
kálvin jános református idősek otthona,1
kádár hungary kft.,1
kádár consulting kft.,1
kyäni hungary kft.,1
kyo consulting kft.,1
kvant zrt.,1
kutya-segélyszolgálat alapítvány,1
kuhotel by rilano,1
ksh rugógyár bt.,1
krupp és társa kft.,1
krones hungary kft.,1
kreatív-italia bt.,1
kranservice zrt.,1
kovács lászló e.v.,1
kovács józsef e.v.,1
kopint-datorg kft.,1
kopfstart gmbh,1
konkoly electro kft.,1
költözzma kft.,1
könig kft.,1
könyvelőiroda,1
közép-pesti tankerületi központ,1
lindt & sprüngli (cee) s.r.o. magyarországi fióktelepe,1
lindström kft.,1
limegift zrt.,1
liegl & dachser asl hungary kft.,1
lic - 2000 kft.,1
lh accounting & financial kft.,1
leyland hsp hungary kft.,1
leier monolit kft.,1
lecsó & csülök kft.,1
leadec kft.,1
konica minolta magyarország kft.,1
lcd szerviz kft.,1
laterex építő zrt,1
lashka gastro kft.,1
langkawi kft.,1
laminar bau kft.,1
lafritte kft.,1
la prairie group ag,1
kőröstej kft.,1
kőházy-tradíció kft.,1
kühne vasöntöde kft.,1
kühne + nagel kft.,1
laurel számítástechnikai kft.,1
jamie oliver’s italian,1
kongsberg interior systems kft.,1
kondorosi corner zrt.,1
kapu-centrum kft.,1
kaptár emberi erőforrás menedzsment kft.,1
kalydi kft.,1
kalle hungaria kft.,1
kall ingredients kft.,1
k&w steel product kft.,1
k&h alapkezelő zrt.,1
k + r kft.,1
k & k family kft.,1
józsefvárosi gazdálkodási központ zrt.,1
jázmin fodrászkellék kft.,1
jávorszky ödön kórház,1
jászkisér város önkormányzata,1
jász-plasztik kft.,1
jász-plasztik autócentrum kft.,1
jász-land ingatlan- és hitelközvetítő kft. - otthon centrum,1
jv europe zrt.,1
juta óra ékszer kft.,1
justice security kft.,1
junkerwerk linder gmbh. + co.kg. magyarországi fióktelepe,1
jobsgarden,1
karrierjob.hu,1
katedra nyelviskola kft.,1
kaufland dienstleistung gmbh & co. kg,1
kavi-pro trade kft.,1
komplex média kft.,1
kompel kft,1
komax thonauer kft,1
knipping automotive kft,1
knauf industries hungary csomagolástechnika korlátolt felelősségű társaság,1
kiving kft.,1
kitchen shop hungary kft.,1
kiss épületgépész kft.,1
kischemicals kft.,1
kingspan kft,1
konecranes kft.,1
kiel kft.,1
kgb group kft.,1
keskeny nyomda,1
keringatlan kft.,1
ken carpathia kft.,1
kempinski hotel budapest zrt.,1
kelevill-fz kft.,1
keler zrt.,1
kelemen róbert e.v.,1
kbc securities magyarországi fióktelepe,1
kb network kft.,1
khaleesi kontroll könyvelő kft.,1
pamutboyz kft.,1
pannon antenna kft.,1
pannon kincstár kft.,1
treszner kft.,1
tressidus kft.,1
tresorit kft.,1
trendo invest kft.,1
translegal uk ltd,1
trans asia courier kft.,1
toyota sakura kft.,1
toyo ink hungary kft.,1
toyo ink hungary kft,1
totál lux kft.,1
toto truck szerviz kft.,1
totalenergies marketing hungary kft,1
toray industries hungary kft.,1
top line hungary,1
tools world hungary kft.,1
toner pláza kft,1
tona hungary kft.,1
tolnatej zrt.,1
tmk-szerviz kft.,1
tmf magyarország kft,1
tm zrt.,1
triad real estate kft.,1
triarco kft.,1
trimex b.t.,1
trimex trade kft.,1
univelit kft.,1
unit trade kereskedelmi kft.,1
uniszol-létesítménygazdálkodási zrt.,1
uniper hungary kft.,1
unione-clark kft.,1
uni-fm kft.,1
ud praktika nonprofit kft.,1
tündérkert trading kft,1
török kft.,1
tököli országos büntetés-végrehajtási intézet,1
tiszamenti regionális vízművek zrt.,1
tóth & tóth bt.,1
tytoo body art korlátolt felelősségű társaság,1
tungaloy hungary kft.,1
trxcom kft.,1
trummer kft.,1
trueline kft.,1
trió konyha és bor kft.,1
trivium packaging b.v.,1
triumph international budapest kereskedelmi kft.,1
tripolisz kft,1
trinity gasztronómia kft.,1
tzmo hungary kft.,1
univer-coop zrt.,1
tirrier kft.,1
tipographic kft.,1
tatár pékség kft.,1
target media sales kft.,1
taravis kft.,1
tama hungary kft.,1
takép-immo kft.,1
taktatrans kft.,1
színház- és filmművészeti egyetem,1
szépvölgyi pékség,1
szépművészeti múzeum,1
szombathelyi parkfenntartási kft.,1
szollak kft.,1
szintetika kft.,1
szinergia kft.,1
sziltop oktatási nonprofit közhasznú korlátolt felelősségű társaság,1
szervízpark kft.,1
szerviz-trade kft.,1
szerelvénybolt kft.,1
szeplast zrt.,1
szentkirályi magyarország kft.,1
szarka sándor ev,1
szakértő kft.,1
taxbi kft.,1
tdk hungary components kft.,1
tech-con hungária kft.,1
techoffice solution kft.,1
timeteam hungary bt.,1
tim-x group professional kft.,1
tigra kft.,1
tiger stores hungary zrt.,1
thyssenkrupp materials hungary,1
thurnher´s alpenhof,1
thomas duvenbeck immobilien invest kft.,1
thermo csillag bt.,1
therefore corporation gmbh,1
the penz hotel,1
tipton global kft.,1
thalesnano zrt.,1
tettye forrásház zrt.,1
testőr kft.,1
testo kft.,1
tendler baut kft,1
ten pao electronics hungary kft.,1
